Month,E- 2Wheeler,E-3Wheeler Passenger,E-3Wheeler Cargo,E-4Wheeler,E-Bus,Others,Total,,,,,,,,,,,,,
Dec-21,24732.00,21208.00,2162.00,2548.00,221.00,25.00,50896.00,,,,,,,,,,,,,
Jan-22,29501.00,17064.00,1898.00,3020.00,126.00,36.00,51645.00,,,,,,,,,,,,,
Feb-22,34873.00,16575.00,2516.00,2933.00,133.00,32.00,57062.00,,,,,,,,,,,,,
Mar-22,53097.00,20759.00,3169.00,3545.00,76.00,44.00,80690.00,,,,,,,,,,,,,
Apr-22,52283.00,18775.00,2322.00,2668.00,164.00,54.00,76266.00,,,,,,,,,,,,,
May-22,41618.00,20812.00,2549.00,3814.00,158.00,43.00,68994.00,,,,,,,,,,,,,
Jun-22,43755.00,24018.00,2930.00,3891.00,145.00,82.00,74821.00,,,,,,,,,,,,,
Jul-22,46103.00,26745.00,2742.00,4468.00,207.00,48.00,80313.00,,,,,,,,,,,,,
Aug-22,51900.00,29354.00,2695.00,4346.00,226.00,50.00,88571.00,,,,,,,,,,,,,
Sep-22,53083.00,33463.00,2685.00,4252.00,204.00,37.00,93724.00,,,,,,,,,,,,,
Oct-22,77024.00,31850.00,2962.00,4935.00,241.00,34.00,117046.00,,,,,,,,,,,,,
Nov-22,76597.00,35413.00,3314.00,5400.00,117.00,42.00,120883.00,,,,,,,,,,,,,
Dec-22,64348.00,30348.00,3601.00,4681.00,142.00,34.00,103154.00,,,,,,,,,,,,,
Jan-23,64683.00,31183.00,3318.00,3441.00,138.00,98.00,102861.00,,,,,,,,,,,,,
Feb-23,66075.00,32329.00,3781.00,4758.00,122.00,144.00,107209.00,,,,,,,,,,,,,
Mar-23,86324.00,39512.00,5780.00,8822.00,98.00,350.00,140886.00,,,,,,,,,,,,,
Apr-23,66841.00,33617.00,4434.00,6020.00,88.00,312.00,111312.00,,,,,,,,,,,,,
May-23,105452.00,39468.00,5169.00,7681.00,280.00,250.00,158300.00,,,,,,,,,,,,,
Jun-23,45993.00,42941.00,5087.00,7916.00,200.00,225.00,102362.00,,,,,,,,,,,,,
Jul-23,54272.00,48240.00,5496.00,7471.00,135.00,222.00,115836.00,,,,,,,,,,,,,
