State,2W,3W Cargo,3W Passenger,4W,e-Bus,Others
 Others,30339.00,1421.00,10596.00,1705.00,33.00,14.00
Assam,380.00,94.00,9064.00,18.00,0.00,5.00
Telangana,8604.00,235.00,127.00,704.00,0.00,0.00
 Bihar,1648.00,197.00,8129.00,36.00,0.00,2.00
 Delhi,7353.00,1060.00,1748.00,1581.00,203.00,0.00
 Tamil Nadu,12802.00,924.00,11.00,555.00,0.00,66.00
 Rajasthan,10904.00,1174.00,3812.00,347.00,0.00,0.00
Gujarat,16424.00,183.00,111.00,671.00,0.00,17.00
 Karnataka,21547.00,600.00,404.00,909.00,2.00,5.00
 Mahara shtra,24162.00,526.00,860.00,2231.00,126.00,3.00
 Uttar Pradesh,5442.00,1595.00,28773.00,54.00,103.00,9.00
